action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,42173,[],CHEMBL702885,Binding constant against human serum albumin (HSA),B,,,BAO_0000179,BAO_0000357,single protein format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1134302,J Med Chem,2001,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,264421,=,1,0,=,,Log K',,,1.39,CHEMBL3253,Homo sapiens,Serum albumin,9606,,,Log K',,,,1.39
,,81965,[],CHEMBL771355,Antiedema efficacy was measured in male Sprague-Dawley rats relative to aspirin; activity expressed as percent of aspirin,F,,,BAO_0001103,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1121620,J Med Chem,1980,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,329936,=,1,0,=,,Activity,%,,100.0,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Activity,%,UO_0000187,,100.0
,,81966,[],CHEMBL780106,Effective dose of compound to produce 25% inhibition in rat; Value ranges from 326-499,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1121620,J Med Chem,1980,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,329936,=,1,0,=,,ED25,uM kg-1,,402.0,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,ED25,uM kg-1,,,402.0
,,88326,[],CHEMBL762032,Inhibitory concentration required against Arachidonic acid (100 uM) induced platelet aggregatory activity,F,,,BAO_0000190,BAO_0000019,assay format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1146621,Bioorg Med Chem Lett,2003,,CHEMBL25,ASPIRIN,CHEMBL25,4.46,0,http://www.openphacts.org/units/Nanomolar,174376,=,1,1,=,,IC50,nM,,34600.0,CHEMBL612545,,Unchecked,,,,IC50,uM,UO_0000065,,34.6
,,88327,[],CHEMBL762033,In vitro inhibition of Collagen (10 ug/mL) induced platelet aggregatory activity.,F,,,BAO_0000190,BAO_0000019,assay format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1146621,Bioorg Med Chem Lett,2003,,CHEMBL25,ASPIRIN,CHEMBL25,4.46,0,http://www.openphacts.org/units/Nanomolar,174376,=,1,1,=,,IC50,nM,,34900.0,CHEMBL612545,,Unchecked,,,,IC50,uM,UO_0000065,,34.9
,,88328,[],CHEMBL765149,Percentage inhibition against thrombin induced platelet aggregatory activity,F,,,BAO_0000201,BAO_0000019,assay format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1146621,Bioorg Med Chem Lett,2003,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,174376,=,1,1,=,,Inhibition,%,,81.0,CHEMBL612545,,Unchecked,,,,Inhibition,%,UO_0000187,,81.0
,,88329,[],CHEMBL765148,Percentage inhibition against platelet activating factor (2 ng/mL) induced platelet aggregatory activity,F,,,BAO_0000201,BAO_0000019,assay format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1146621,Bioorg Med Chem Lett,2003,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,174376,=,1,1,=,,Inhibition,%,,2.0,CHEMBL612545,,Unchecked,,,,Inhibition,%,UO_0000187,,2.0
,,91852,[],CHEMBL760085,Inhibitory concentration in DMSO with purified human Prostaglandin G/H synthase 2 (COX-2),B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1131194,J Med Chem,1998,"{'bei': '23.34', 'le': '0.44', 'lle': '2.89', 'sei': '6.61'}",CHEMBL25,ASPIRIN,CHEMBL25,4.20,0,http://www.openphacts.org/units/Nanomolar,280370,=,1,1,=,,IC50,nM,,62500.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,,,IC50,uM,UO_0000065,,62.5
,,91853,[],CHEMBL764258,Inhibitory concentration in DMSO with purified ovine Prostaglandin G/H synthase 1 (COX-1).,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1131194,J Med Chem,1998,"{'bei': '27.22', 'le': '0.52', 'lle': '3.59', 'sei': '7.71'}",CHEMBL25,ASPIRIN,CHEMBL25,4.90,0,http://www.openphacts.org/units/Nanomolar,280370,=,1,1,=,,IC50,nM,,12500.0,CHEMBL2949,Ovis aries,Cyclooxygenase-1,9940,,,IC50,uM,UO_0000065,,12.5
,,98177,[],CHEMBL767504,Evaluated for dose to inhibit Prostaglandin G/H synthase of platelets by about 90% in human,B,,,BAO_0000179,BAO_0000019,assay format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1121444,J Med Chem,1980,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,303968,=,1,0,=,,Dose,mg,,325.0,CHEMBL2094253,Homo sapiens,Cyclooxygenase,9606,,,Dose,mg,UO_0000022,,325.0
